Title,Year,Medium,Genetic Topic/Issue,Organism affected,Mutant is monster?,Who is doing the manipulation?,technique mentioned,Accuracy,Centrality of genetics,Theme,Attitude,Genre
Law and Order: Special Victims Unit (Birthrate),2004,TV Ep,"Sex, DNAtoID,  Biobank, DataPrivacy",human,No,"Medical, Government","IVF, mitochondria seq, intercytoplasmic sperm injection",mid,central,"Adoption/NonBioParent, Autonomy, Forensics, Bioethics, Medicine/neg",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Clock),2006,TV Ep,"GeneDisease, Sex",human,No,Private,NA,mid,peripheral,"Childhood, Disability, Medicine/neg, Forensics",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Competence),2002,TV Ep,"GeneScreen, GeneDisease, DNAtoID",human,No,"Medical, Government",NA,high,central,"Disability, Forensics, Exploitation, SexGender",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Confrontation),2006,TV Ep,"DNAtoID, Forensics, Eugenics",NA,NA,"Government, Private",NA,mid,central,"SexGender, Forensics, Vulnerability, SciNazi",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Double Strands),2011,TV Ep,"DNAtoID, Forensics",NA,NA,Government,NA,mid,peripheral,"Forensics, Adoption/NonBioParent, Childhood",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Father Dearest),2012,TV Ep,"Biobank, DataPrivacy, DNAtoID, Essentialism, Sex",human,No,"Medical, Government",NA,mid,peripheral,"Adoption/NonBioParent, Childhood, Exploitation, Forensics, SexGender",positive,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Hate),2004,TV Ep,"Essentialism, DNAtoID",NA,NA,"Private, Government",NA,low,peripheral,"Race, Discrimination, Religion, Childhood, Forensics",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Identity),2005,TV Ep,"Sex, DNAtoID, Forensics, DataPrivacy",human,No,"Medical, Government",gender reassignment after circumcision gone wrong,low,central,"Bioethics, Childhood, Atonomy, SexGender, Forensics, Medicine/neg, NatureVNurture",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Inconceivable),2008,TV Ep,"Sex, OrganHarvest, GeneDisease, GeneScreen",human,No,Medical,"IVF, preimplantation genetic diagnosis, eggs from child",high,central,"Medicine/pos, Bioethics, Discrimination, Genealogy, SexGender, Forensics",positive,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Inheritance),2001,TV Ep,"Essentialism, DNAtoID, Forensics, GeneScreen",human,Yes,Government,NA,mid,central,"NatureVNurture, Race, SexGender, Childhood, Discrimination, Forensics",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Making a Rapist),2016,TV Ep,"DNAtoID,  Forensics",NA,NA,Government,NA,mid,peripheral,"Forensics, SexGender",positive,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Manipulated),2006,TV Ep,"DataPrivacy, Forensics, DNAtoID",NA,NA,"Government, Private",NA,low,peripheral,"SexGender, Disability, Forensics, Medicine/neg, Exploitation",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Melancholy Pursuit),2015,TV Ep,"Biobank, DNAtoID, Forensics, DataPrivacy",NA,NA,Government,NA,high,central,"Forensics, Adoption/NonBioParent, Genealogy",positive,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Mercy),2003,TV Ep,"GeneDisease, DataPrivacy",human,No,NA,NA,high,peripheral,"SexGender, Vulnerability, Disability, Adoption/NonBioParent, Bioethics, Medicine/neg",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Murdered at a Bad Address),2019,TV Ep,"DNAtoID, Forensics, DataPrivacy, Biobank",NA,NA,Government,touch (trace) DNA,mid,central,"Forensics, LGBTQIA, Childhood",positive,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Perfect),2003,TV Ep,"Cloning, Conservation, DNAtoID, OrganHarvest, Sex, Forensics",human,No,Private,IVF,mid,central,"Adoption/NonBioParent, Bioethics, Childhood, Exploitation, Forensics, SexGender, SciMad",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Perverted),2009,TV Ep,"DNAtoID, Forensics, DataPrivacy, Chimera/TransGen",human,No,"Government, Private",NA,low,central,"Autonomy, Forensics, SciCold",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Sacrifice),2001,TV Ep,"DNAtoID, Forensics, GeneDisease",human,No,Government,NA,mid,peripheral,"LGBTQIA, Forensics, SexGender",positive,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Savant),2007,TV Ep,"GeneDisease, DNAtoID, GeneScreen",human,No,"Government, Medical",NA,high,peripheral,"Childhood, Forensics, Disability",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Serendipity),2003,TV Ep,"DNAtoID, Biobank, Forensics, DataPrivacy",NA,NA,Government,paternity test,mid,central,"Medicine/neg, Forensics, Vulnerability",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Service),2018,TV Ep,"DNAtoID, Forensics, Sex",NA,NA,Government,NA,high,peripheral,"LGBTQIA, SexGender, Forensics, Vulnerability, Discrimination",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Taboo),2006,TV Ep,"DNAtoID, Mutation",human,No,Government,paternity test,mid,peripheral,"Childhood, Genealogy, SexGender, Forensics",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Tangled Strands of Justice),2022,TV Ep,"DNAtoID, DataPrivacy, Biobank, Forensics",NA,NA,Government,NA,high,central,"Bioethics, Forensics, Adoption/NonBioParent, SexGender",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (The Undiscovered Country),2018,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,NA,low,peripheral,"Bioethics, SexGender, Vulnerability",negative,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Vanity's Bonfire),2012,TV Ep,"DNAtoID, DataPrivacy, Sex",human,No,"Private, Government",paternity test,mid,peripheral,"Childhood, SexGender, Disability, Forensics, Adoption/NonBioParent",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Venom),2006,TV Ep,"DNAtoID, Forensics, DataPrivacy",NA,NA,Government,mitochondria seq,high,central,"Genealogy, LGBTQIA, Adoption/NonBioParent, Childhood, Forensics, Race",positive,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Waste),2002,TV Ep,"DataPrivacy, DNAtoID, GeneDisease, OrganHarvest",human,No,Medical,cord blood stem cell,high,central,"Autonomy, Bioethics, Exploitation, SciCold",mixed,"Crime,Drama,Mystery"
Law and Order: Special Victims Unit (Web),2006,TV Ep,"DNAtoID, Forensics",NA,NA,Government,mitochondria seq,mid,peripheral,"Childhood, Exploitation, Forensics",positive,"Crime,Drama,Mystery"
"Lazarus Project, The (entire series)",2022,TV series,Mutation,human,Mixed,Government,NA,low,peripheral,"Mortality, Sacrifice, SciCold",mixed,"Drama,Mystery,Thriller"
Leviathan,1989,Film,Mutation,human,Yes,Government,NA,low,peripheral,"Monsters, Sacrifice",negative,"Adventure,Horror,Mystery"
Lie To Me (Black Friday),2009,TV Ep,DNAtoID,NA,NA,Corporation,NA,mid,central,"Adoption/NonBioParent, Disability, Childhood",mixed,"Crime,Drama,Mystery"
Little Joe,2019,Film,"GMOs, Mutation",plant,Yes,Corporation,viral vector,high,central,"Autonomy, Bioethics, Exploitation, Galatea, SexGender, SciDedicated, Vulnerability",negative,"Drama,Horror,Mystery"
Living With Yourself (entire series),2019,TV series,"Cloning, GeneEngHu",human,No,Corporation,NA,low,peripheral,"Individualism, Autonomy",mixed,"Comedy,Drama,Sci-Fi"
Logan,2017,Film,"Biobank, Biowar/Terror, Chimera/TransGen, Cloning, DataPrivacy, Eugenics, GeneEngHu, GMOs, Mutation","human, plant",Mixed,Corporation,transgenic research,low,central,"Bioethics, Childhood, Discrimination, Exploitation, Genealogy, Individualism, NatureVNurture, Medicine/neg, Mortality, Posthumanism, Sacrifice, SciNazi ",mixed,"Action,Drama,Sci-Fi"
Lois & Clark: The New Adventures of Superman (That Old Gang),1994,TV Ep,"Cloning, GeneEngHu, Essentialism",human,Yes,Private,NA,low,peripheral,"Galatea, Mortality, SciMad",negative,"Adventure,Comedy,Drama"
Lorenzo's Oil,1992,Film,GeneDisease,human,No,NA,NA,mid,peripheral,"Childhood, Medicine/neg, Disability",positive,"Biography,Drama"
"Lost World, The (Unnatural Selection)",2000,TV Ep,"Chimera/TransGen, GeneEngHu, GeneDisease",human,Mixed,Private,that dude fucked a gorilla,low,peripheral,"Childhood, Galatea, Prometheus, SexGender, Monsters, Posthumanism, SciMad",negative,"Action,Adventure,Sci-Fi"
Love and Monsters,2020,Film,Mutation,animal,Mixed,Accident,NA,low,peripheral,Monsters,mixed,"Action,Adventure,Comedy"
"Lucifer Complex, The",1978,Film,"Cloning, Eugenics",human,Yes,"Medical, Government",NA,low,peripheral,"SciNazi, Autonomy, Race",negative,Sci-Fi
Maattrraan,2012,Film,"GeneEngHu, Chimera/TransGen",human,No,"Academic, Government",NA,low,peripheral,"Interdependence, Exploitation, Forensics, SciCold, Prometheus, Sacrifice, Bieothics, Posthumanism",mixed,"Action,Sci-Fi,Thriller"
Made in America,1993,Film,"Sex, DNAtoID, DataPrivacy",human,No,Medical,NA,high,central,"Adoption/NonBioParent, Race",mixed,Comedy
Man of Steel,2013,Film,"Eugenics, Essentialism, GeneEngHu, Conservation, Biobank",human,No,Government,NA,low,peripheral,"Adoption/NonBioParent, Childhood, Posthumanism, Sacrifice",mixed,"Action,Adventure,Sci-Fi"
Man's Best Friend,1993,Film,"GMOs, Chimera/TransGen","animal, human",Yes,Corporation,NA,low,peripheral,"Monsters, Bioethics, SciMad",negative,"Comedy,Horror,Sci-Fi"
"Mandalorian, The (The Convert)",2023,TV Ep,OrganHarvest,human,NA,Government,NA,low,peripheral,"Medicine/pos, SciDedicated, SciNazi",mixed,"Action,Adventure,Fantasy"
Manifest (Emergency Exit),2020,TV Ep,"Mutation, GeneTherapy",human,No,Medical,retrovirus,low,central,"SciDedicated, Vulnerability, LGBTQIA",positive,"Drama,Mystery,Sci-Fi"
Manifest (Grounded),2020,TV Ep,"DNAtoID, Forensics, GeneDisease",human,No,"Medical, Government",paternity test,mid,central,"Forensics, Childhood, SciDedicated",positive,"Drama,Mystery,Sci-Fi"
Married in Name Only,1917,Film,Eugenics,human,No,Private,NA,low,central,"Adoption/NonBioParent, Discrimination, Disability, Genealogy, SexGender",positive,Drama
Mars Needs Women,1967,TV Movie,"Sex, Conservation",NA,NA,Government,NA,low,peripheral,"SexGender, Genealogy, Posthumanism",positive,Sci-Fi
Mask,1985,Film,GeneDisease,human,No,NA,NA,high,central,"Childhood, Discrimination, Disability, Interdependence",mixed,"Biography,Drama"
"Matter of Faith, A",2014,Film,Evolution,NA,NA,Academic,NA,mid,central,Religion,negative,Drama
Medical Investigation (Progeny),2004,TV Ep,"DataPrivacy, GeneDisease, Sex, GeneScreen",human,No,Medical,"DNA seq, IVF",high,central,"Bioethics, Childhood, Adoption/NonBioParent, Autonomy, Medicine/neg",mixed,"Drama,Mystery"
Medical Investigation (You're Not Alone),2004,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,DNA seq,high,peripheral,"Vulnerability, Medicine/pos",mixed,"Drama,Mystery"
Megamind,2010,Film,"DataPrivacy, Essentialism",human,No,Private,NA,low,peripheral,"NatureVNurture, Vulnerability, SciMad",mixed,"Action,Animation,Comedy"
Men & Chicken,2015,Film,"Chimera/TransGen, Sex, GeneEngHu","animal, human",No,Private,NA,low,central,"Bioethics, Adoption/NonBioParent, SciMad, Religion",mixed,"Comedy,Drama,Mystery"
Men in Black: International,2019,Film,Chimera/TransGen,human,Yes,Government,NA,low,peripheral,"Monsters, Autonomy",negative,"Action,Adventure,Comedy"
"Mentalist, The (Blood and Sand)",2011,TV Ep,"DNAtoID, DataPrivacy, Forensics",human,NA,Government,NA,mid,peripheral,"SexGender, Forensics, Adoption/NonBioParent",positive,"Crime,Drama,Mystery"
"Mentalist, The (Little Red Corvette)",2013,TV Ep,"Forensics, DNAtoID",NA,NA,Government,NA,mid,peripheral,"Childhood, Forensics",positive,"Crime,Drama,Mystery"
"Mentalist, The (Red Carpet Treatment)",2010,TV Ep,"Forensics, DNAtoID, Biobank",NA,NA,Government,NA,mid,central,Forensics,mixed,"Crime,Drama,Mystery"
Metamorphosis,1990,Film,"Mutation, GeneEngHu, GeneTherapy","animal, human",Yes,Academic,NA,mid,peripheral,"Bioethics, Monsters, SciMad, Prometheus",negative,"Horror,Sci-Fi"
Millennium,1989,Film,"Sex, Cloning, Conservation",human,No,Government,NA,low,peripheral,"Interdependence, Vulnerability, SciDedicated",mixed,"Drama,Sci-Fi,Thriller"
Mimic,1997,Film,"GMOs, Chimera/TransGen, Evolution",animal,Yes,Academic,NA,low,peripheral,"Monsters, SciDedicated",mixed,"Horror,Sci-Fi"
Minority Report,2002,Film,GeneTherapy,human,No,Medical,NA,low,peripheral,"Autonomy, Forensics, Bioethics",negative,"Action,Crime,Mystery"
Mission: Impossible II,2000,Film,"BioWar/Terror, GMOs, Chimera/TransGen",microbe,NA,Corporation,"vaccine, gene splicing",mid,peripheral,"Sacrifice, SciDedicated, Medicine/neg",negative,"Action,Adventure,Thriller"
Modern Family (Aunt Mommy),2012,TV Ep,Sex,human,NA,NA,surrogacy,high,central,"SexGender, LGBTQIA, Genealogy, Adoption/NonBioParent",mixed,"Comedy,Drama,Romance"
Modern Family (Daddy Issues),2018,TV Ep,"DNAtoID, DataPrivacy",human,NA,Private,paternity test,mid,central,"LGBTQIA, Childhood",mixed,"Comedy,Drama,Romance"
Modern Vampires,1998,Film,GeneDisease,human,Mixed,Private,NA,low,peripheral,"Monsters, Mortality",negative,"Comedy,Horror,Romance"
Monk (Mr. Monk and the Wrong Man),2007,TV Ep,"DNAtoID, Forensics",NA,NA,Government,NA,low,central,Forensics,positive,"Comedy,Crime,Drama"
Monster on the Campus,1958,Film,"Evolution, Mutation","animal, human",Yes,Academic,radiation,low,peripheral,"Monsters, Prometheus",negative,"Horror,Sci-Fi"
Moon,2009,Film,"Cloning, DataPrivacy",human,No,Corporation,NA,low,peripheral,"Autonomy, Bioethics, Mortality",mixed,"Drama,Mystery,Sci-Fi"
Morbius,2022,Film,"Chimera/TransGen, GeneDisease, GeneTherapy, GeneEngHu","human, animal",Yes,Medical,transgenic medicine,low,central,"Bioethics, Disability, Medicine/neg, Monsters, Mortality, Posthumanism, SciDedicated",negative,"Action,Adventure,Horror"
Morgan,2016,Film,"GeneEngHu, BioWar/Terror",human,Yes,Corporation,NA,low,peripheral,"Childhood, Prometheus, Bioethics",negative,"Action,Horror,Sci-Fi"
"Mork and Mindy (Mindy, Mindy, Mindy)",1981,TV Ep,Cloning,human,No,Private,NA,low,peripheral,"Individualism, SciDedicated",negative,"Animation,Comedy,Family"
Mortal Fear,1994,TV Movie,"GeneTherapy, Eugenics",human,No,Corporation,NA,mid,peripheral,"Bioethics, Medicine/neg, SciDedicated, Mortality, Forensics, Discrimination",negative,Thriller
Mr. Murder,1998,TV Movie,"BioWar/Terror, GeneEngHu, Cloning",human,Yes,Government,NA,low,peripheral,"Galatea, SciCold",negative,"Crime,Sci-Fi,Thriller"
Multiplicity,1996,Film,Cloning,human,No,Academic,NA,low,peripheral,Individualism,mixed,"Comedy,Romance,Sci-Fi"
Mutant Action,1993,Film,Mutation,human,Yes,Accident,NA,low,peripheral,"Discrimination, Disability, Monsters",negative,"Comedy,Fantasy,Sci-Fi"
Mutant Blast,2018,Film,"Mutation, BioWar/Terror","human, animal",Mixed,Government,radiation,low,peripheral,"Monsters, SciMad",negative,"Action,Comedy,Horror"
Mutant Species,1995,Film,"BioWar/Terror, Mutation, GeneTherapy",human,Yes,Government,NA,low,peripheral,"Monsters, Sacrifice",negative,"Horror,Sci-Fi"
Mutant World,2014,TV Movie,Mutation,human,Yes,Accident,radiation,low,peripheral,"Monsters, Vulnerability",negative,Sci-Fi
Mutant X (entire series),2001,TV series,"Chimera/TransGen, DataPrivacy, GeneEngHu",human,Mixed,"Government, Corporation",NA,low,peripheral,"Autonomy, Bioethics, Discrimination, Exploitation, Monsters, Posthumanism, SciCold",mixed,"Action,Adventure,Drama"
Mutation on Mars,2021,Film,"Chimera/TransGen, GMOs",animal,Yes,Academic,NA,low,peripheral,"Childhood, Prometheus, Monsters, SciMad",negative,"Drama,Sci-Fi"
"Mutation, The",2021,Film,"Mutation, GMOs",animal,Yes,Private,NA,low,peripheral,"Monsters, Exploitation, SciMad, Forensics",negative,"Horror,Sci-Fi,Thriller"
"Mutations, The",1974,Film,"Chimera/TransGen, Mutation, GeneDisease","animal, plant, human",Yes,Academic,NA,mid,central,"SciMad, Disability, Discrimination, Monsters, Prometheus",negative,"Horror,Sci-Fi"
Mutator,1989,Film,"GMOs, Chimera/TransGen",animal,Yes,Corporation,NA,low,peripheral,Monsters,negative,"Horror,Sci-Fi"
My DNA Says I Love You,2007,Film,"Essentialism, Mutation, GeneTherapy","human, plant",No,Corporation,NA,low,central,"Discrimination, Sacrifice, SexGender",positive,"Comedy,Romance,Sci-Fi"
My Father's Other Family,2020,TV Movie,DNAtoID,NA,NA,Corporation,direct to consumer testing,mid,peripheral,"Exploitation, Forensics, Childhood",negative,Thriller
My Sister's Keeper,2009,Film,"GeneEngHu, OrganHarvest",human,No,Medical,"preimplantation diagnosis, cord blood harvest, IVF",high,central,"Autonomy, Exploitation, Childhood, Bioethics, Mortality, Vulnerability",mixed,"Drama,Family"
Mysterious Island,1961,Film,"WorldHunger, GMOs",animal,Yes,Private,NA,low,peripheral,"Interdependence, Monsters, Sacrifice, SciDedicated",positive,"Adventure,Family,Fantasy"
Natural Selection,1994,TV Movie,"Cloning, DNAtoID",human,Yes,Medical,SCNT,low,peripheral,"Individualism, Adoption/NonBioParent, Medicine/neg, NatureVNurture, Exploitation",negative,"Horror,Mystery,Sci-Fi"
NCIS (Birds of a Feather),2022,TV Ep,"DNAtoID, Forensics, DataPrivacy, Biobank",human,NA,"Government, Private",NA,low,peripheral,Forensics,negative,"Action,Crime,Drama"
NCIS (Dead and Unburied),2006,TV Ep,"Forensics, DNAtoID, DataPrivacy, Biobank",NA,NA,Government,NA,mid,peripheral,"Forensics, SexGender",positive,"Action,Crime,Drama"
NCIS (Endgame),2009,TV Ep,"DNAtoID, Forensics, Biobank",NA,NA,Government,NA,mid,peripheral,"Forensics, Childhood, Prometheus, Posthumanism",positive,"Action,Crime,Drama"
NCIS (Family Secret),2006,TV Ep,"DNAtoID, Forensics, OrganHarvest",human,NA,Government,NA,mid,peripheral,"Forensics, Sacrifice, Interdependence, Childhood",positive,"Action,Crime,Drama"
NCIS (Head Games),2023,TV Ep,GeneScreen,human,NA,Medical,NA,low,peripheral,"Medicine/neg, Mortality",mixed,"Action,Crime,Drama"
NCIS (Heartland),2008,TV Ep,"DataPrivacy, DNAtoID, Forensics, GeneDisease",human,No,Government,NA,mid,peripheral,Forensics,positive,"Action,Crime,Drama"
"NCIS (Judge, Jury...)",2019,TV Ep,"DNAtoID, Forensics",NA,NA,Government,NA,mid,central,"Forensics, Childhood",mixed,"Action,Crime,Drama"
NCIS (Pop Life),2005,TV Ep,"Forensics, DNAtoID, DataPrivacy",NA,NA,Government,NA,mid,peripheral,"Exploitation, Forensics",positive,"Action,Crime,Drama"
NCIS (SWAK),2005,TV Ep,"BioWar/Terror, DNAtoID, GMOs",microbe,Yes,Private,radiation,mid,central,"Forensics, SexGender",negative,"Action,Crime,Drama"
NCIS (The Good Samaritan),2004,TV Ep,"Forensics, DNAtoID",NA,NA,Government,NA,mid,peripheral,"Forensics, SexGender, Medicine/neg",mixed,"Action,Crime,Drama"
NCIS (The Penelope Papers),2011,TV Ep,"Forensics, DNAtoID",NA,NA,Government,NA,mid,peripheral,Forensics,positive,"Action,Crime,Drama"
NCIS LA (SEAL Hunter),2014,TV Ep,"DNAtoID, Forensics, DataPrivacy",NA,NA,"Government, Private",NA,mid,peripheral,Forensics,mixed,"Action,Crime,Drama"
NCIS: LA (Survival of the Fittest),2022,TV Ep,"GeneTherapy, Eugenics",human,No,Private,CRISPR in adenovirus vector,high,central,"Forensics, Discrimination, Vulnerability, Medicine/neg",negative,"Action,Crime,Drama"
"Nest, The",1987,Film,"GMOs, Sex, Conservation, Evolution, Chimera/TransGen",animal,Yes,Corporation,NA,low,peripheral,"SciCold, Bioethics, Monsters",negative,"Horror,Sci-Fi"
Never Let Me Go,2010,Film,"Cloning, OrganHarvest",human,No,Government,NA,low,peripheral,"Exploitation, Mortality, Bioethics, Autonomy, Childhood",negative,"Drama,Romance,Sci-Fi"
Never Look Away,2018,Film,"Eugenics, GeneDisease",NA,NA,Government,NA,low,peripheral,"SexGender, Discrimination, Disability, SciNazi",negative,"Biography,Drama,Romance"
New Amsterdam (Anthopocene),2018,TV Ep,"Mutation, Evolution",microbe,Yes,NA,NA,mid,peripheral,"LGBTQIA, Vulnerability, Medicine/pos",mixed,Drama
New Amsterdam (Double Blind),2020,TV Ep,DNAtoID,NA,NA,Corporation,direct to consumer testing,mid,peripheral,"Adoption/NonBioParent, Vulnerability, Medicine/pos",mixed,Drama
New Amsterdam (Five Miles West),2019,TV Ep,GeneDisease,human,No,NA,NA,mid,central,"Adoption/NonBioParent, SexGender, Vulnerability, Medicine/pos",mixed,Drama
"New Mutants, The",2020,Film,"Biobank, BioWar/Terror, DataPrivacy, Essentialism, Mutation",human,No,Corporation,NA,low,peripheral,"Autonomy, Bioethics, Childhood, Discrimination, Exploitation, Interdependence, LGBTQIA, Medicine/neg, Monsters, NatureVNurture, Posthumanism, Race, Religion, Sacrifice, SciCold, Vulnerability ",mixed,"Action,Horror,Mystery"
Night of the Lepus,1972,Film,"Conservation, Mutation, GMOs",animal,Yes,Academic,NA,low,peripheral,"Monsters, SciDedicated",negative,"Horror,Sci-Fi,Thriller"
"Night Shift, The (Ghosts)",2015,TV Ep,"GeneScreen, Mutation",human,No,Accident,radiation,mid,peripheral,"Genealogy, Medicine/pos, Vulnerability",mixed,"Drama,Romance"
"Night Shift, The (Parenthood)",2015,TV Ep,GeneDisease,human,Mixed,NA,NA,high,peripheral,"Disability, Childhood, Vulnerability, Medicine/pos",negative,"Drama,Romance"
"Night Shift, The (Unexpected & Between a Rock and a Hard Place)",2016,TV Ep,"GeneDisease, GeneScreen",human,No,Medical,NA,mid,peripheral,"Disability, Vulnerability, Medicine/pos",mixed,"Drama,Romance"
Nip/Tuck (Dan Daly),2010,TV Ep,GeneDisease,human,Mixed,NA,NA,high,peripheral,"Disability, Autonomy",negative,Drama
Nip/Tuck (Escobar Gallardo),2003,TV Ep,DNAtoID,NA,NA,Medical,paternity test,mid,peripheral,"Bioethics, SexGender, Exploitation, Race, Adoption/NonBioParent",mixed,Drama
Nip/Tuck (Merrill Bobolit),2006,TV Ep,"GeneDisease, DataPrivacy, DNAtoID",human,No,Medical,paternity test,low,peripheral,"Medicine/neg, SexGender, Religion, Discrimination, Autonomy, Vulnerability",mixed,Drama
Nip/Tuck (Tommy Bottom),2005,TV Ep,GeneDisease,human,No,NA,NA,mid,peripheral,"Childhood, Disability, Adoption/NonBioParent",mixed,Drama
No Time to Die,2021,Film,"BioWar/Terror, DNAtoID",human,NA,Government,"nanotechnology, DNA-targeted therapy",low,peripheral,Sacrifice,negative,"Action,Adventure,Thriller"
"Number, A",2008,TV Movie,"Cloning, GeneEngHu, Essentialism, DataPrivacy",human,No,Medical,NA,mid,central,"NatureVNurture, Childhood, Bioethics, Individualism, Autonomy",mixed,Drama
Nuoc 2030,2014,Film,GMOs,plant,Yes,Corporation,NA,low,peripheral,"Vulnerability, Forensics, SexGender, Bioethics, SciMad",negative,"Drama,Mystery,Romance"
"Nutty Professor, The",1996,Film,"GeneTherapy, Essentialism, GeneEngHu","animal, human",Mixed,Academic,DNA seq,low,peripheral,"Discrimination, Galatea",mixed,"Comedy,Romance,Sci-Fi"
Oblivion,2013,Film,Cloning,human,No,Government,NA,low,peripheral,"SciDedicated, Vulnerability, Exploitation, Prometheus",negative,"Action,Adventure,Sci-Fi"
"Office, The (A.A.R.M.)",2013,TV Ep,Eugenics,NA,NA,Private,NA,low,peripheral,"Genealogy, Adoption/NonBioParent, SexGender",mixed,Comedy
"Office, The (Andy's Ancestry)",2012,TV Ep,"Essentialism, Biobank, DNAtoID, DataPrivacy",NA,NA,Corporation,direct to consumer testing,low,central,"Race, Genealogy",mixed,Comedy
"Office, The (Free Family Portrait Studio)",2012,TV Ep,"DNAtoID, DataPrivacy",NA,NA,Private,paternity test,mid,central,"LGBTQIA, Adoption/NonBioParent, Genealogy",mixed,Comedy
Okja,2017,Film,"GMOs, WorldHunger",animal,No,Corporation,NA,mid,peripheral,"Exploitation, Interdependence, Bioethics, SciCold, Vulnerability, Prometheus",negative,"Action,Adventure,Drama"
"Omega Man, The",1971,Film,"BioWar/Terror, Mutation","microbe, human",Yes,Government,NA,low,peripheral,"Individualism, Medicine/pos, Monsters, Posthumanism, Religion, Sacrifice",negative,"Action,Drama,Sci-Fi"
On Her Majesty's Secret Service,1969,Film,"BioWar/Terror, GeneDisease",microbe,NA,Private,NA,low,peripheral,"Genealogy, Medicine/neg, SciMad",negative,"Action,Adventure,Thriller"
Orphan Black (entire series),2013,TV series,"Cloning, GeneEngHu, DataPrivacy, Biobank, GeneTherapy, Sex",human,Mixed,"Academic, Corporation",IVF,high,central,"NatureVNurture, SexGender, Bioethics, SciDedicated, Adoption/NonBioParent, Galatea, LGBTQIA",mixed,"Drama,Sci-Fi,Thriller"
"Other Me, The",2000,Film,Cloning,human,No,"Accident, Corporation",NA,low,peripheral,"Childhood, Individualism",positive,"Comedy,Family,Sci-Fi"
Outbreak,1995,Film,"BioWar/Terror, Mutation",microbe,Yes,"Government, Accident",NA,mid,peripheral,"SciDedicated, Bioethics, Medicine/pos",negative,"Action,Drama,Thriller"
"Outer Limits, The (A Feasibility Study)",1964,TV Ep,GeneDisease,human,NA,NA,NA,low,central,"Exploitation, Sacrifice",negative,"Drama,Fantasy,Horror"
"Outer Limits, The (A Special Edition)",1997,TV Ep,"Cloning, GeneEngHu, Chimera/TransGen",human,Yes,Government,NA,low,peripheral,"Mortality, Bioethics",negative,"Drama,Fantasy,Horror"
"Outer Limits, The (Afterlife)",1996,TV Ep,"Chimera/TransGen, GeneEngHu",human,No,Government,gene splicing,low,peripheral,"Religion, SciCold, Posthumanism",negative,"Drama,Fantasy,Horror"
"Outer Limits, The (Cold Hands, Warm Heart)",1964,TV Ep,Mutation,human,No,Accident,NA,low,central,"Medicine/pos, Vulnerability",negative,"Drama,Fantasy,Horror"
"Outer Limits, The (Criminal Nature)",1998,TV Ep,"GeneEngHu, GeneTherapy, Eugenics",human,Yes,Medical,NA,low,central,"Childhood, Monsters, NatureVNurture, Discrimination, Prometheus",negative,"Drama,Fantasy,Horror"
"Outer Limits, The (Dark Rain)",1997,TV Ep,"Sex, Mutation, Conservation",human,NA,Government,NA,low,peripheral,"SciCold, Childhood, Exploitation, SexGender, Autonomy",mixed,"Drama,Fantasy,Horror"
"Outer Limits, The (Descent)",1999,TV Ep,"Essentialism, Evolution, GeneTherapy, GMOs, GeneEngHu",human,Yes,Academic,NA,low,peripheral,"SciMad, Prometheus",negative,"Drama,Fantasy,Horror"
"Outer Limits, The (Double Helix)",1997,TV Ep,"GeneEngHu, Mutation, GeneDisease, GeneTherapy, Essentialism, Evolution","animal, human",Yes,Academic,retrovirus activates introns,low,central,"Bioethics, Posthumanism, Religion, Genealogy, SciMad",negative,"Drama,Fantasy,Horror"
